000,0,2,3,0,3,0,1,0,2,1,0,0,0,0,0,0
000,0,0,0,4,3,0,1,0,2,1,0,0,0,0,0,0
000,0,0,3,0,0,4,1,0,2,1,0,0,0,0,0,0
000,0,0,0,4,0,4,1,0,2,1,0,0,0,0,0,0
000,0,0,3,0,3,0,0,2,2,1,0,0,0,0,0,0
000,0,0,0,4,3,0,0,2,2,1,0,0,0,0,0,0
000,0,0,3,0,0,4,0,2,2,1,0,0,0,0,0,0
000,1,0,0,4,0,4,0,2,2,1,0,0,0,0,0,0
000,0,2,0,0,3,0,1,0,0,1,4,0,0,0,0,0
000,0,0,0,4,3,0,1,0,0,1,4,0,0,0,0,0
000,0,2,0,0,0,4,1,0,0,1,4,0,0,0,0,0
000,0,0,3,0,0,4,1,0,0,1,4,0,0,0,0,0
000,0,0,0,0,3,4,1,0,0,1,4,0,0,0,0,0
000,0,0,0,0,3,0,0,2,0,1,4,0,0,0,0,0
000,1,0,0,0,0,4,0,2,0,1,4,0,0,0,0,0
000,0,0,3,0,0,4,0,2,0,1,4,0,0,0,0,0
000,0,0,0,0,0,4,1,2,0,1,4,0,0,0,0,0
000,0,0,0,0,0,4,1,0,2,1,4,0,0,0,0,0
000,0,2,0,0,3,0,1,0,2,0,0,3,0,0,0,0
000,0,0,0,4,3,0,1,0,2,0,0,3,0,0,0,0
000,0,0,0,0,0,4,1,0,2,0,0,3,0,0,0,0
000,1,0,0,0,3,0,0,2,2,0,0,3,0,0,0,0
000,0,0,0,4,3,0,0,2,2,0,0,3,0,0,0,0
000,1,0,0,0,0,4,0,2,2,0,0,3,0,0,0,0
000,0,0,3,0,0,4,0,2,2,0,0,3,0,0,0,0
000,0,0,0,0,3,4,0,2,2,0,0,3,0,0,0,0
000,0,0,0,0,3,0,1,2,2,0,0,3,0,0,0,0
000,0,0,0,0,3,0,0,2,2,1,0,3,0,0,0,0
000,0,2,0,0,3,0,1,0,0,0,4,3,0,0,0,0
000,1,0,0,4,3,0,1,0,0,0,4,3,0,0,0,0
000,1,0,0,0,0,4,1,0,0,0,4,3,0,0,0,0
000,0,2,0,0,0,4,1,0,0,0,4,3,0,0,0,0
000,1,0,0,0,3,0,0,2,0,0,4,3,0,0,0,0
000,0,2,0,0,3,0,0,2,0,0,4,3,0,0,0,0
000,1,0,0,0,0,4,0,2,0,0,4,3,0,0,0,0
000,0,2,3,0,0,4,0,2,0,0,4,3,0,0,0,0
000,0,0,0,0,3,0,0,2,2,0,4,3,0,0,0,0
000,0,0,0,0,0,4,1,0,0,1,4,3,0,0,0,0
000,0,2,3,0,0,0,1,0,0,1,0,0,4,0,0,0
000,0,2,0,4,0,0,1,0,0,1,0,0,4,0,0,0
000,0,0,3,4,0,0,1,0,0,1,0,0,4,0,0,0
000,0,0,0,4,3,0,1,0,0,1,0,0,4,0,0,0
000,0,0,3,0,0,4,1,0,0,1,0,0,4,0,0,0
000,1,0,3,0,0,0,0,2,0,1,0,0,4,0,0,0
000,0,2,3,0,0,0,0,2,0,1,0,0,4,0,0,0
000,1,0,0,4,0,0,0,2,0,1,0,0,4,0,0,0
000,0,0,3,4,0,0,0,2,0,1,0,0,4,0,0,0
000,0,0,3,0,3,0,0,2,0,1,0,0,4,0,0,0
000,0,0,0,4,3,0,0,2,0,1,0,0,4,0,0,0
000,0,0,3,0,0,4,0,2,0,1,0,0,4,0,0,0
000,0,0,3,0,0,0,1,2,0,1,0,0,4,0,0,0
000,0,0,0,4,0,0,1,2,0,1,0,0,4,0,0,0
000,0,0,0,4,0,0,1,0,2,1,0,0,4,0,0,0
000,0,0,3,0,0,0,0,2,2,1,0,0,4,0,0,0
000,0,2,0,0,0,0,1,0,0,1,4,0,4,0,0,0
000,1,0,0,0,0,0,0,2,0,1,4,0,4,0,0,0
000,0,0,3,0,0,0,0,2,0,1,4,0,4,0,0,0
